gene1	gene2	interaction	type	type.1
MAPK14	MAPKAPK3	hsa04010	+p	M
MAPK14	MAPKAPK2	hsa04010	+p	M
MAPK11	MAPKAPK3	hsa04010	+p	M
MAPK11	MAPKAPK2	hsa04010	+p	M
MAPK13	MAPKAPK3	hsa04010	+p	M
MAPK13	MAPKAPK2	hsa04010	+p	M
MAPK12	MAPKAPK3	hsa04010	+p	M
MAPK12	MAPKAPK2	hsa04010	+p	M
MAPK14	RPS6KA4	hsa04010	+p	M
MAPK14	RPS6KA5	hsa04010	+p	M
MAPK11	RPS6KA4	hsa04010	+p	M
MAPK11	RPS6KA5	hsa04010	+p	M
MAPK13	RPS6KA4	hsa04010	+p	M
MAPK13	RPS6KA5	hsa04010	+p	M
MAPK12	RPS6KA4	hsa04010	+p	M
MAPK12	RPS6KA5	hsa04010	+p	M
MAPK14	CDC25B	hsa04010	+p	M
MAPK11	CDC25B	hsa04010	+p	M
MAPK13	CDC25B	hsa04010	+p	M
MAPK12	CDC25B	hsa04010	+p	M
MAPKAPK5	HSPB1	hsa04010	+p	M
MAPKAPK3	HSPB1	hsa04010	+p	M
MAPKAPK2	HSPB1	hsa04010	+p	M
MAPKAPK3	ATF4	hsa04010	+p	M
MAPKAPK2	ATF4	hsa04010	+p	M
RPS6KA4	ATF4	hsa04010	+p	M
RPS6KA5	ATF4	hsa04010	+p	M
MAP2K5	MAPK7	hsa04010	+p	M
MAPK7	NR4A1	hsa04010	+p	M
MAP3K8	MAP3K14	hsa04010	+p	M
MAP3K8	CHUK	hsa04010	+p	M
MAP3K8	IKBKB	hsa04010	+p	M
MAP3K8	IKBKG	hsa04010	+p	M
MAP3K8	MAP2K1	hsa04010	+p	M
MAP3K8	MAP2K2	hsa04010	+p	M
MAP3K1	CHUK	hsa04010	+p	M
MAP3K1	IKBKB	hsa04010	+p	M
MAP3K1	IKBKG	hsa04010	+p	M
MAP3K1	MAP2K4	hsa04010	+p	M
MAP3K11	MAP2K7	hsa04010	+p	M
MAP3K1	MAP2K1	hsa04010	+p	M
MAP3K1	MAP2K2	hsa04010	+p	M
MAP2K4	MAPK8	hsa04010	+p	M
MAP2K4	MAPK9	hsa04010	+p	M
MAP2K4	MAPK10	hsa04010	+p	M
MAP2K7	MAPK8	hsa04010	+p	M
MAP2K7	MAPK9	hsa04010	+p	M
MAP2K7	MAPK10	hsa04010	+p	M
MAPK8	FOS	hsa04010	+p	M
MAPK8	JUN	hsa04010	+p	M
MAPK9	FOS	hsa04010	+p	M
MAPK9	JUN	hsa04010	+p	M
MAPK10	FOS	hsa04010	+p	M
MAPK10	JUN	hsa04010	+p	M
MAPK8	JUND	hsa04010	+p	M
MAPK9	JUND	hsa04010	+p	M
MAPK10	JUND	hsa04010	+p	M
MAPK8	ELK1	hsa04010	+p	M
MAPK9	ELK1	hsa04010	+p	M
MAPK10	ELK1	hsa04010	+p	M
MAPK8	TP53	hsa04010	+p	M
MAPK9	TP53	hsa04010	+p	M
MAPK10	TP53	hsa04010	+p	M
MAPK8	NFATC1	hsa04010	--|	N
MAPK9	NFATC1	hsa04010	--|	N
MAPK10	NFATC1	hsa04010	--|	N
MAPK8	NFATC3	hsa04010	--|	N
MAPK9	NFATC3	hsa04010	--|	N
MAPK10	NFATC3	hsa04010	--|	N
PPP3CA	NFATC1	hsa04010	-p	M
PPP3CB	NFATC1	hsa04010	-p	M
PPP3CC	NFATC1	hsa04010	-p	M
PPP3R1	NFATC1	hsa04010	-p	M
AKT3	MAP3K5	hsa04010	--|	N
AKT1	MAP3K5	hsa04010	--|	N
AKT2	MAP3K5	hsa04010	--|	N
AKT3	MAP2K4	hsa04010	--|	N
AKT1	MAP2K4	hsa04010	--|	N
AKT2	MAP2K4	hsa04010	--|	N
PPP3CA	NFATC3	hsa04010	-p	M
PPP3CB	NFATC3	hsa04010	-p	M
PPP3CC	NFATC3	hsa04010	-p	M
PPP3R1	NFATC3	hsa04010	-p	M
RASA2	RRAS2	hsa04010	--|	N
RASA2	MRAS	hsa04010	--|	N
RASA2	HRAS	hsa04010	--|	N
RASA2	KRAS	hsa04010	--|	N
RASA2	NRAS	hsa04010	--|	N
RASA2	RRAS	hsa04010	--|	N
NF1	RRAS2	hsa04010	--|	N
NF1	MRAS	hsa04010	--|	N
NF1	HRAS	hsa04010	--|	N
NF1	KRAS	hsa04010	--|	N
NF1	NRAS	hsa04010	--|	N
NF1	RRAS	hsa04010	--|	N
RASA1	RRAS2	hsa04010	--|	N
RASA1	MRAS	hsa04010	--|	N
RASA1	HRAS	hsa04010	--|	N
RASA1	KRAS	hsa04010	--|	N
RASA1	NRAS	hsa04010	--|	N
RASA1	RRAS	hsa04010	--|	N
DUSP3	MAPK1	hsa04010	--|	N
DUSP3	MAPK3	hsa04010	--|	N
PTPN7	MAPK1	hsa04010	--|	N
PTPN7	MAPK3	hsa04010	--|	N
PTPRR	MAPK1	hsa04010	--|	N
PTPRR	MAPK3	hsa04010	--|	N
DUSP10	MAPK1	hsa04010	--|	N
DUSP10	MAPK3	hsa04010	--|	N
DUSP1	MAPK1	hsa04010	--|	N
DUSP1	MAPK3	hsa04010	--|	N
DUSP2	MAPK1	hsa04010	--|	N
DUSP2	MAPK3	hsa04010	--|	N
DUSP4	MAPK1	hsa04010	--|	N
DUSP4	MAPK3	hsa04010	--|	N
DUSP5	MAPK1	hsa04010	--|	N
DUSP5	MAPK3	hsa04010	--|	N
DUSP6	MAPK1	hsa04010	--|	N
DUSP6	MAPK3	hsa04010	--|	N
DUSP7	MAPK1	hsa04010	--|	N
